iter	Passed	Remaining
664	15709	7913
665	15730	7888
666	15752	7864
667	15775	7840
668	15797	7816
669	15819	7791
670	15840	7766
671	15861	7741
672	15882	7716
673	15902	7691
674	15922	7666
675	15947	7643
676	15968	7618
677	15988	7593
678	16008	7568
679	16030	7543
680	16050	7518
681	16071	7493
682	16092	7468
683	16113	7444
684	16134	7419
685	16154	7394
686	16175	7369
687	16196	7344
688	16217	7320
689	16238	7295
690	16259	7270
691	16280	7246
692	16316	7228
693	16358	7212
694	16382	7189
695	16407	7166
696	16437	7145
697	16461	7122
698	16482	7097
699	16502	7072
700	16523	7048
701	16545	7023
702	16567	6999
703	16590	6975
704	16610	6950
705	16632	6926
706	16656	6902
707	16678	6878
708	16698	6853
709	16718	6828
710	16741	6804
711	16764	6781
712	16786	6756
713	16808	6732
714	16829	6708
715	16850	6683
716	16871	6659
717	16893	6634
718	16912	6609
719	16934	6585
720	16957	6561
721	16979	6537
722	17000	6513
723	17022	6489
724	17043	6464
725	17064	6440
726	17086	6416
727	17108	6392
728	17130	6368
729	17152	6344
730	17173	6319
731	17194	6295
732	17215	6270
733	17237	6246
734	17258	6222
735	17279	6197
736	17299	6173
737	17326	6150
738	17349	6127
739	17375	6104
740	17399	6081
741	17425	6058
742	17447	6034
743	17471	6011
744	17496	5988
745	17525	5967
746	17549	5943
747	17572	5920
748	17595	5896
749	17619	5873
750	17642	5849
751	17661	5824
752	17682	5800
753	17703	5775
754	17722	5751
755	17744	5727
756	17764	5702
757	17787	5678
758	17810	5655
759	17834	5631
760	17907	5624
761	17948	5606
762	17970	5581
763	17990	5557
764	18010	5532
765	18031	5508
766	18052	5484
767	18072	5459
768	18092	5434
769	18113	5410
770	18134	5386
771	18155	5361
772	18176	5337
773	18198	5313
774	18219	5289
775	18240	5265
776	18260	5240
777	18283	5217
778	18306	5193
779	18328	5169
780	18350	5145
781	18372	5121
782	18394	5097
783	18413	5073
784	18435	5049
785	18456	5025
786	18487	5003
787	18527	4984
788	18552	4961
789	18578	4938
790	18604	4915
791	18632	4893
792	18655	4869
793	18676	4845
794	18697	4821
795	18718	4797
796	18739	4772
797	18759	4748
798	18779	4724
799	18801	4700
800	18821	4675
801	18842	4651
802	18865	4628
803	18886	4604
804	18907	4580
805	18931	4556
806	18954	4533
807	18975	4509
808	18995	4484
809	19017	4460
810	19038	4436
811	19061	4413
812	19085	4389
813	19106	4365
814	19128	4342
815	19150	4318
816	19173	4294
817	19194	4270
818	19216	4246
819	19238	4223
820	19263	4200
821	19285	4176
822	19307	4152
823	19328	4128
824	19351	4104
825	19372	4080
826	19393	4056
827	19415	4033
828	19437	4009
829	19459	3985
830	19481	3961
831	19504	3938
832	19533	3916
833	19557	3892
834	19582	3869
